"Month"
"2006-12",5.3
"2007-01",5.5
"2007-02",5.6
"2007-03",5.4
"2007-04",5.2
"2007-05",5.2
"2007-06",5.3
"2007-07",5.5
"2007-08",5.5
"2007-09",5.4
"2007-10",5.2
"2007-11",4.9
"2007-12",4.9
"2008-01",5
"2008-02",5.2
"2008-03",5.2
"2008-04",5
"2008-05",5.2
"2008-06",5.5
"2008-07",5.9
"2008-08",6.1
"2008-09",6.1
"2008-10",6.2
"2008-11",6.1
"2008-12",6.3
"2009-01",6.7
"2009-02",7.2
"2009-03",7.3
"2009-04",7.4
"2009-05",7.6
"2009-06",7.9
"2009-07",8
"2009-08",8
"2009-09",8
"2009-10",7.8
"2009-11",7.5
"2009-12",7.5
"2010-01",7.9
"2010-02",8.1
"2010-03",7.9
"2010-04",7.6
"2010-05",7.6
"2010-06",7.8
"2010-07",7.8
"2010-08",7.8
"2010-09",7.9
"2010-10",7.8
"2010-11",7.6
"2010-12",7.6
"2011-01",7.7
"2011-02",7.8
"2011-03",7.6
"2011-04",7.6
"2011-05",7.8
"2011-06",8
"2011-07",8.3
"2011-08",8.5
"2011-09",8.5
"2011-10",8.4
"2011-11",8.1
"2011-12",8.1
"2012-01",8.2

Harmonised unemployment rates (%) - monthly data

